"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"34578","NC_035780.1",54211053,54211053,"+",4.5525805411118e-66,3.06979772602287e-62,-62.8450920245399
"35605","NC_035780.1",55484706,55484706,"+",4.61812506608602e-44,4.66468780828711e-41,-52.4574303405573
"37060","NC_035780.1",57337101,57337101,"+",2.12957401925827e-10,4.79823247989426e-09,-54.8387096774194
"39111","NC_035780.1",60587462,60587462,"+",3.47772908122361e-43,3.23753743887142e-40,-74.1221174004193
"40630","NC_035780.1",62782869,62782869,"+",2.82198241639172e-18,1.99111293342898e-16,-50.4156010230179
"42764","NC_035781.1",631437,631437,"+",2.43627110549684e-42,2.13272372793813e-39,-60.7191644074564
"42780","NC_035781.1",631900,631900,"+",2.63764129012244e-48,3.84834029933509e-45,-57.7343905734346
"43494","NC_035781.1",783410,783410,"+",3.40357154006391e-29,8.60342896363692e-27,-50.283243887895
"44848","NC_035781.1",1874188,1874188,"+",4.86980778688703e-16,2.54604005102588e-14,-51.5508021390374
"44999","NC_035781.1",2169469,2169469,"+",3.44002082074853e-17,2.10976446528012e-15,-58.130081300813
"45736","NC_035781.1",2454891,2454891,"+",7.11265828383862e-52,1.31447406595276e-48,-50.6016042780749
"49020","NC_035781.1",5035160,5035160,"+",3.88147916576505e-19,3.04717371095384e-17,-51.6328828828829
"50288","NC_035781.1",5648772,5648772,"+",5.90535508870308e-60,2.19899914489938e-56,-55.2253302253302
"52190","NC_035781.1",7626511,7626511,"+",3.52747736574691e-12,1.06830754215049e-10,-56.0918060918061
"54355","NC_035781.1",10383011,10383011,"+",1.23306040539502e-57,3.94406075318241e-54,-58.7995327522689
"54454","NC_035781.1",10430445,10430445,"+",3.8020179096122e-21,3.81410126432649e-19,-52.0833333333333
"56346","NC_035781.1",13033011,13033011,"+",3.44025073627788e-85,9.53677273549183e-81,-63.7391551699616
"56812","NC_035781.1",13281050,13281050,"+",1.0700218435283e-21,1.15267781551784e-19,-51.4929742388759
"60548","NC_035781.1",20126030,20126030,"+",3.03566919628151e-11,7.93224061911689e-10,-52.370820668693
"60695","NC_035781.1",20200245,20200245,"+",3.19495686766719e-25,5.1626365272406e-23,-68.60982016569
"64504","NC_035781.1",23710327,23710327,"+",8.42454066830098e-28,1.83888193804831e-25,-54.5717994385245
"64876","NC_035781.1",24354116,24354116,"+",1.41588266238921e-39,9.67805856200782e-37,-51.774584810599
"66957","NC_035781.1",29178319,29178319,"+",7.18676478983721e-22,7.88491139472222e-20,-55.3841991341991
"67959","NC_035781.1",29765550,29765550,"+",2.37395591462527e-12,7.37858752104105e-11,-51.3917262512768
"70088","NC_035781.1",30789624,30789624,"+",1.40822393607859e-27,2.98005737302864e-25,-57.1975318284777
"70113","NC_035781.1",30803514,30803514,"+",7.74000673378314e-38,4.53299860865493e-35,-54.6637074489976
"74257","NC_035781.1",39583209,39583209,"+",2.1210531460624e-07,2.64031841475996e-06,-50.2747252747253
"77096","NC_035781.1",42529449,42529449,"+",3.9538549269496e-21,3.95370285868455e-19,-50.6981032665964
"77396","NC_035781.1",43054123,43054123,"+",8.7163069639327e-30,2.35095669856406e-27,-60.0945906000591
"77783","NC_035781.1",44165243,44165243,"+",2.31679815285738e-17,1.44613186699136e-15,-53.4722222222222
"77943","NC_035781.1",45110204,45110204,"+",2.89208324660839e-13,1.03566386926196e-11,-51.2636100289681
"78385","NC_035781.1",47331063,47331063,"+",1.16986758240376e-16,6.63946168807289e-15,-56.1057692307692
"79213","NC_035781.1",49178843,49178843,"+",8.49226784648732e-21,8.16784632320528e-19,-51.1500754147813
"79557","NC_035781.1",50711255,50711255,"+",2.14225272409355e-80,4.85883179718869e-76,-71.93893037091
"81705","NC_035781.1",53358849,53358849,"+",5.12212749173773e-24,7.28575631391166e-22,-55.9090909090909
"81719","NC_035781.1",53364502,53364502,"+",2.18518927180629e-55,5.3449387679187e-52,-58.8854149688088
"81763","NC_035781.1",53374026,53374026,"+",3.68690012528901e-25,5.91540965861716e-23,-57.1625978811608
"84081","NC_035781.1",54716977,54716977,"+",1.24609225178817e-10,2.93014193562908e-09,-52.4872698785742
"86019","NC_035781.1",57902072,57902072,"+",9.15133191850993e-56,2.35378298748132e-52,-51.1238558683814
"87062","NC_035781.1",59605797,59605797,"+",3.9740455003877e-31,1.25983000961458e-28,-53.5464535464535
"87212","NC_035781.1",59696863,59696863,"+",3.27228026708014e-26,5.94529575406234e-24,-51.6698422779718
"87486","NC_035781.1",59742650,59742650,"+",2.11141225960939e-27,4.36073756412092e-25,-65.0485436893204
"88764","NC_035782.1",4508266,4508266,"+",1.10308142583608e-11,3.08875679709661e-10,-50.5148741418764
"89784","NC_035782.1",6260448,6260448,"+",5.62231929676765e-31,1.75778786089564e-28,-54.2799776343212
"89916","NC_035782.1",6675420,6675420,"+",1.51330661821479e-25,2.52883777371349e-23,-50.4761904761905
"89927","NC_035782.1",6685344,6685344,"+",1.77378816179684e-24,2.64995883334597e-22,-68.4149184149184
"89928","NC_035782.1",6685350,6685350,"+",1.02457291537081e-27,2.22472681135525e-25,-50.228851010101
"89945","NC_035782.1",6686536,6686536,"+",2.92550600176004e-50,4.83367996292542e-47,-55.3776940782591
"90667","NC_035782.1",6897407,6897407,"+",1.27939257985638e-35,6.17400718906506e-33,-53.6407192712647
"93598","NC_035782.1",15147633,15147633,"+",5.90077749005831e-46,6.94428000069417e-43,-68.4925767851064
"93600","NC_035782.1",15148527,15148527,"+",1.60036347398969e-25,2.66895273888497e-23,-50.0434782608696
"93779","NC_035782.1",15285001,15285001,"+",9.62300616328891e-25,1.47835449246444e-22,-54.1284403669725
"96066","NC_035782.1",20856834,20856834,"+",3.31297619663273e-36,1.67999140218321e-33,-59.3838754008246
"98264","NC_035782.1",22251781,22251781,"+",5.4011756345858e-30,1.4906432426615e-27,-53.3473568684836
"98538","NC_035782.1",22569028,22569028,"+",2.90337225093711e-23,3.82653732681455e-21,-50.1156236450354
"100709","NC_035782.1",26339742,26339742,"+",9.61415661687116e-56,2.44759165188868e-52,-59.5431742170873
"100711","NC_035782.1",26344077,26344077,"+",7.38636513830105e-12,2.12454141427793e-10,-51.313535122787
"106181","NC_035782.1",34280755,34280755,"+",4.87406131722199e-10,1.02731395400137e-08,-50.3968253968254
"107849","NC_035782.1",34498894,34498894,"+",6.09478805265885e-32,2.09447814572794e-29,-55.0220750551876
"107850","NC_035782.1",34498896,34498896,"+",2.66880814384858e-46,3.23224282580147e-43,-71.5532178217822
"111251","NC_035782.1",35693356,35693356,"+",4.99878801435817e-31,1.57071743251202e-28,-55.8318425760286
"112347","NC_035782.1",37843186,37843186,"+",9.31676151175303e-45,9.89124508049083e-42,-55.525050305242
"114440","NC_035782.1",41847824,41847824,"+",2.44635255946304e-43,2.28592317784909e-40,-50.5890022240969
"115174","NC_035782.1",45180769,45180769,"+",7.13839367386188e-32,2.43234558487614e-29,-62.4988105433438
"118067","NC_035782.1",48688411,48688411,"+",1.3455649858059e-26,2.54901709925083e-24,-58.6345381526104
"118068","NC_035782.1",48688414,48688414,"+",2.49551011097302e-28,5.77556424743572e-26,-56.0606060606061
"118540","NC_035782.1",49571337,49571337,"+",2.47977982839968e-25,4.04896119972957e-23,-58.6215022091311
"118566","NC_035782.1",49575757,49575757,"+",4.81909358882773e-29,1.1963359269504e-26,-61.1528822055138
"120616","NC_035782.1",51594719,51594719,"+",6.67164628045256e-41,5.0439749276508e-38,-52.3841698841699
"122708","NC_035782.1",53681703,53681703,"+",4.93914594749866e-77,8.80192512897117e-73,-58.3101256545898
"127311","NC_035782.1",58948371,58948371,"+",3.30758061270162e-34,1.40103501436185e-31,-50.4939418972876
"131251","NC_035782.1",63564042,63564042,"+",1.0131098338124e-35,4.95610160343455e-33,-55.5155605549306
"137667","NC_035782.1",72205397,72205397,"+",1.02281102845622e-31,3.42985936487262e-29,-55.8888028895769
"142449","NC_035783.1",8555953,8555953,"+",3.56408628504956e-25,5.72572651186012e-23,-59.0686274509804
"144603","NC_035783.1",11164220,11164220,"+",6.78097356194141e-45,7.38771979806138e-42,-62.2517141443416
"148530","NC_035783.1",15040569,15040569,"+",6.47508328461113e-38,3.82813067505425e-35,-50.7819072064882
"159314","NC_035783.1",21073267,21073267,"+",7.90578703080902e-45,8.46531330718422e-42,-50.704037712646
"159846","NC_035783.1",22609861,22609861,"+",1.82921133086803e-20,1.68776136839331e-18,-56.4416775884666
"160458","NC_035783.1",23674166,23674166,"+",3.21473076251175e-17,1.97889088778725e-15,-62.6373626373626
"161760","NC_035783.1",25301968,25301968,"+",1.16596800403767e-35,5.64850152282604e-33,-57.0774862721171
"161782","NC_035783.1",25304491,25304491,"+",3.81542156855322e-30,1.06716487524979e-27,-63.3853151397011
"161806","NC_035783.1",25307879,25307879,"+",1.33664330643121e-66,9.80822584057129e-63,-78.1472684085511
"161807","NC_035783.1",25307895,25307895,"+",7.89208527424e-65,4.92249885947864e-61,-50.6085359424513
"162032","NC_035783.1",26034431,26034431,"+",1.31643019918397e-18,9.67698003197991e-17,-52.2619047619048
"163159","NC_035783.1",30129117,30129117,"+",4.61761635586769e-22,5.19878596718865e-20,-50.9677419354839
"164447","NC_035783.1",32082627,32082627,"+",2.49961258695321e-37,1.40141427924368e-34,-53.3606366157754
"164696","NC_035783.1",32417239,32417239,"+",1.99943770500168e-62,9.41208529951863e-59,-60.569157151176
"169063","NC_035783.1",38039087,38039087,"+",2.01168586571169e-16,1.10525505271697e-14,-51.0269865067466
"169592","NC_035783.1",41484689,41484689,"+",2.88817537811867e-20,2.59572061248694e-18,-59.3919325707405
"169630","NC_035783.1",41657100,41657100,"+",1.25343319200542e-21,1.33299042417342e-19,-50.609756097561
"169852","NC_035783.1",42295608,42295608,"+",3.37831713253877e-41,2.62572494197419e-38,-51.5522875816994
"170413","NC_035783.1",42871171,42871171,"+",2.10342641533598e-20,1.92440302981823e-18,-51.5819546307351
"170920","NC_035783.1",44312385,44312385,"+",1.08095538329876e-36,5.7997418350292e-34,-51.632412000945
"176456","NC_035783.1",48434287,48434287,"+",3.55123914593024e-41,2.75155307255352e-38,-53.4230944774076
"177348","NC_035783.1",49079097,49079097,"+",3.39956632997307e-11,8.80015747278619e-10,-50.7701692847339
"178238","NC_035783.1",50075653,50075653,"+",2.86197969760089e-21,2.91800764654629e-19,-52.9032258064516
"182188","NC_035783.1",57083698,57083698,"+",4.09574562944824e-11,1.04644058570175e-09,-51.2682926829268
"182750","NC_035783.1",57925336,57925336,"+",1.35130556493852e-32,4.92171929019791e-30,-58.8673621460507
"183083","NC_035783.1",58980061,58980061,"+",9.40805780903209e-43,8.50442081163366e-40,-65.2450980392157
"183832","NC_035784.1",1046256,1046256,"+",2.65519087543737e-57,8.17832894218843e-54,-54.1341272567655
"183984","NC_035784.1",1062720,1062720,"+",5.14898732631412e-23,6.55085634085175e-21,-51.4226159458051
"184603","NC_035784.1",1924234,1924234,"+",3.18566788562966e-19,2.53038385203528e-17,-53.0829800121139
"184978","NC_035784.1",2007283,2007283,"+",1.37651861002373e-38,8.67242889353419e-36,-51.3089560148384
"185034","NC_035784.1",2011998,2011998,"+",2.64944685638042e-57,8.17832894218843e-54,-60.1923251383471
"185318","NC_035784.1",2256855,2256855,"+",2.97995735512638e-19,2.37682469486462e-17,-52.3361823361823
"185398","NC_035784.1",2288951,2288951,"+",2.05492895566449e-48,3.01579444366505e-45,-55.2305435020136
"185553","NC_035784.1",2326140,2326140,"+",2.91339934647898e-21,2.96670884035008e-19,-54.9870191173
"185618","NC_035784.1",2338124,2338124,"+",6.30449528725743e-23,7.91600944382827e-21,-53.4511240393593
"185642","NC_035784.1",2340024,2340024,"+",1.5659973466667e-61,6.85440896045747e-58,-55.6345952897677
"185739","NC_035784.1",2350202,2350202,"+",3.92431863085327e-53,8.44034345512814e-50,-55.8613556159494
"185918","NC_035784.1",2443680,2443680,"+",3.40458600559239e-44,3.4811948283834e-41,-61.1413959761717
"186231","NC_035784.1",2777423,2777423,"+",2.41693512865499e-53,5.28949229638226e-50,-53.9834881320949
"188197","NC_035784.1",5236071,5236071,"+",1.44925262523772e-11,3.99000908218026e-10,-53.4495021337127
"189910","NC_035784.1",8331781,8331781,"+",4.39992828947472e-13,1.53159419375145e-11,-51.0925855753442
"191555","NC_035784.1",9477060,9477060,"+",4.38701300748891e-12,1.30985836257649e-10,-55.049610205528
"191621","NC_035784.1",10016145,10016145,"+",2.56931841719217e-38,1.57498842755215e-35,-56.6869918699187
"194359","NC_035784.1",14247056,14247056,"+",1.03941439629074e-20,9.89030959938937e-19,-59.9587912087912
"194381","NC_035784.1",14259081,14259081,"+",1.60774967194255e-25,2.67947972778071e-23,-50.899209486166
"197326","NC_035784.1",18634308,18634308,"+",7.35635667896694e-23,9.16295756415768e-21,-58.0938416422288
"198078","NC_035784.1",21410058,21410058,"+",5.9124420810123e-19,4.53457597189438e-17,-59.0329835082459
"198079","NC_035784.1",21410065,21410065,"+",3.21150789150846e-18,2.25320697815352e-16,-56.6666666666667
"198451","NC_035784.1",21805785,21805785,"+",1.4773778582491e-26,2.77972548095712e-24,-53.4883720930233
"198796","NC_035784.1",22572279,22572279,"+",1.08025954539e-16,6.17367763518221e-15,-57.2872133696075
"202623","NC_035784.1",33375190,33375190,"+",1.78543155713261e-14,7.58467632514049e-13,-54.1372462488967
"204847","NC_035784.1",36797030,36797030,"+",3.4127696903626e-58,1.13527105192721e-54,-56.4378819749242
"206570","NC_035784.1",37719493,37719493,"+",2.50132628452044e-30,7.10770962826751e-28,-53.2287449392713
"206637","NC_035784.1",37751435,37751435,"+",1.12230915575739e-44,1.1814572351399e-41,-57.2006890611542
"207295","NC_035784.1",39544459,39544459,"+",2.49050762335212e-16,1.35107143556387e-14,-51.6296296296296
"209871","NC_035784.1",42103146,42103146,"+",6.55023971319201e-18,4.42399012616614e-16,-63.1054131054131
"210364","NC_035784.1",43356401,43356401,"+",1.62532442857806e-47,2.21586255946819e-44,-52.2551143200963
"216898","NC_035784.1",47479565,47479565,"+",4.22932158022407e-26,7.56940566619012e-24,-51.0090889572747
"218999","NC_035784.1",50083564,50083564,"+",1.86455473029213e-25,3.09300873015976e-23,-51.8843541503877
"221110","NC_035784.1",52581120,52581120,"+",1.43749078495514e-62,7.31918687230232e-59,-52.799139688137
"221120","NC_035784.1",52581363,52581363,"+",5.80866091343417e-97,4.83068386075464e-92,-72.9622680842193
"221138","NC_035784.1",52581684,52581684,"+",4.97774543663063e-38,2.96396114605072e-35,-59.676268055089
"223101","NC_035784.1",53289052,53289052,"+",5.42980370283707e-17,3.22697455855383e-15,-51.2458369310473
"224143","NC_035784.1",53739782,53739782,"+",2.94093839323789e-31,9.4068706152161e-29,-65.1404151404151
"224471","NC_035784.1",53991052,53991052,"+",2.42373702540578e-20,2.19890592638609e-18,-51.7628790646693
"224476","NC_035784.1",53991915,53991915,"+",1.66935392876843e-16,9.29452769861348e-15,-52.5070290534208
"224519","NC_035784.1",53995724,53995724,"+",3.33217976108153e-28,7.62004468311169e-26,-55.8517390200558
"225290","NC_035784.1",54639923,54639923,"+",1.04439539660021e-65,6.68119562758269e-62,-51.9264511476986
"225668","NC_035784.1",54998519,54998519,"+",6.2646010033305e-38,3.71248892036305e-35,-50.649821876237
"225999","NC_035784.1",55154350,55154350,"+",1.54406804595354e-49,2.4381655737394e-46,-51.094362605154
"226344","NC_035784.1",55404564,55404564,"+",3.84849740220599e-18,2.67753254831237e-16,-53.4293899561847
"227054","NC_035784.1",57140177,57140177,"+",1.69594760102442e-21,1.77558813349112e-19,-50.8242346392635
"227139","NC_035784.1",57163871,57163871,"+",1.35008494999503e-19,1.11793308882552e-17,-63.7755102040816
"229843","NC_035784.1",59312760,59312760,"+",4.72190418665023e-09,8.31383051070882e-08,-50.5291723202171
"229970","NC_035784.1",59387901,59387901,"+",7.56398742538416e-18,5.06207692842174e-16,-67.719298245614
"235059","NC_035784.1",64469388,64469388,"+",6.06455665732792e-31,1.88659437750955e-28,-55.0638371290545
"237028","NC_035784.1",65903451,65903451,"+",1.46799592309184e-11,4.03559948595133e-10,-51.962962962963
"240186","NC_035784.1",67943442,67943442,"+",3.75412615494017e-37,2.0813743360326e-34,-58.3240802428011
"240529","NC_035784.1",68693108,68693108,"+",2.61991097259041e-22,3.04019835861148e-20,-58.5347985347985
"241430","NC_035784.1",69554491,69554491,"+",7.57016961234789e-27,1.48949895523585e-24,-72.7218864794407
"245036","NC_035784.1",75291847,75291847,"+",1.2178781526645e-42,1.08906420207973e-39,-75.6345177664975
"245078","NC_035784.1",75314858,75314858,"+",3.88168413132208e-29,9.74288674326729e-27,-51.8969794250693
"248331","NC_035784.1",81666533,81666533,"+",9.12967556470543e-40,6.30960234181761e-37,-65.8603248405642
"249099","NC_035784.1",82092356,82092356,"+",2.92222491571523e-14,1.20248569176765e-12,-51.7307692307692
"249431","NC_035784.1",82548251,82548251,"+",5.19737080945494e-19,4.01204871039206e-17,-57.1286750668194
"250616","NC_035784.1",84951458,84951458,"+",7.40491290817843e-29,1.80239484228823e-26,-52.131259419342
"251425","NC_035784.1",85967659,85967659,"+",7.49613059936441e-13,2.51880491848493e-11,-58.4541062801932
"251876","NC_035784.1",86309405,86309405,"+",1.34320633885362e-06,1.39533285668577e-05,-50.4385964912281
"254920","NC_035784.1",88794180,88794180,"+",4.19543955713729e-60,1.66146334958298e-56,-64.7171121138494
"255679","NC_035784.1",90457417,90457417,"+",2.50732580313006e-47,3.30980808298332e-44,-80.0548589341693
"256088","NC_035784.1",90909623,90909623,"+",2.16350803082117e-75,3.17514407502489e-71,-65.992154273091
"256450","NC_035784.1",91582933,91582933,"+",4.0289322734019e-20,3.57333786257541e-18,-53.8045112781955
"256783","NC_035784.1",92841544,92841544,"+",3.08626692502949e-17,1.90309931315408e-15,-56.289592760181
"259284","NC_035784.1",95098214,95098214,"+",2.57769232640659e-10,5.71703707002426e-09,-50.6696428571429
"262760","NC_035785.1",8268553,8268553,"+",1.70774521684653e-12,5.43035998150787e-11,-55.846917080085
"263477","NC_035785.1",11013151,11013151,"+",7.90954698241676e-21,7.63457994746189e-19,-52.3085610042132
"267827","NC_035785.1",31878920,31878920,"+",4.36528362003622e-24,6.25557940329577e-22,-57.516339869281
"268653","NC_035785.1",32529156,32529156,"+",8.43538762786951e-23,1.0413400630948e-20,-50.3212908753391
"271139","NC_035785.1",35798192,35798192,"+",4.00538755796487e-50,6.53141019722262e-47,-52.6616729522585
"273868","NC_035785.1",41843042,41843042,"+",1.20224379017428e-14,5.21014919169094e-13,-55.5555555555556
"280289","NC_035786.1",4921576,4921576,"+",5.64816223297449e-29,1.39245284346893e-26,-57.2532188841202
"282114","NC_035786.1",14799932,14799932,"+",6.45770480119302e-75,8.95075211124056e-71,-64.1468875951635
"285418","NC_035786.1",34083839,34083839,"+",3.79744609828359e-22,4.3123639571344e-20,-59.2037890424987
"286080","NC_035786.1",34368875,34368875,"+",6.14422824387004e-57,1.76198389319494e-53,-51.9849035504613
"287135","NC_035786.1",38651249,38651249,"+",5.6845060387841e-60,2.18189185905594e-56,-50.8567673296123
"288467","NC_035786.1",41487754,41487754,"+",9.42584059182696e-47,1.19982488656905e-43,-51.0907661915585
"288468","NC_035786.1",41487758,41487758,"+",8.67022589378641e-60,3.18108553141521e-56,-67.7925730356425
"288556","NC_035786.1",41858572,41858572,"+",5.05244911024724e-29,1.25177514390185e-26,-50.2873867202652
"288734","NC_035786.1",42150387,42150387,"+",1.83369122545463e-16,1.01528709437199e-14,-51.1335381015065
"288961","NC_035786.1",42411777,42411777,"+",8.29823688193757e-45,8.84756612178454e-42,-64.4565217391304
"289074","NC_035786.1",42447009,42447009,"+",1.03768515114069e-56,2.90890435533505e-53,-61.559013380071
"290739","NC_035786.1",43235782,43235782,"+",4.72226525930312e-23,6.0387486803152e-21,-53.2911392405063
"290745","NC_035786.1",43236838,43236838,"+",1.51880959141158e-12,4.8705452265002e-11,-53.0769230769231
"290764","NC_035786.1",43256646,43256646,"+",3.74008396244442e-28,8.49831565514838e-26,-59.5019659239843
"292868","NC_035786.1",49056852,49056852,"+",1.05077580112701e-57,3.40465557375398e-54,-57.3039060019054
"295065","NC_035786.1",53586489,53586489,"+",4.21501675335301e-23,5.44028056301662e-21,-51.7045454545455
"298091","NC_035787.1",7855103,7855103,"+",2.24964339417924e-23,2.9886285375964e-21,-51.8253968253968
"298093","NC_035787.1",7855121,7855121,"+",1.2503028854525e-40,9.25633744998295e-38,-63.2991281176223
"298472","NC_035787.1",8650893,8650893,"+",2.49035580926784e-24,3.65267417435978e-22,-50.100713158038
"300577","NC_035787.1",19062110,19062110,"+",2.55023967772175e-36,1.30917762879561e-33,-51.3782460621541
"301211","NC_035787.1",23056763,23056763,"+",6.50100621073687e-52,1.21950275653076e-48,-55.4496310906567
"301697","NC_035787.1",26136337,26136337,"+",3.80539817175558e-59,1.31862545473043e-55,-58.6526315789474
"304484","NC_035787.1",35987932,35987932,"+",1.22842204764656e-58,4.19834949314358e-55,-68.1809880376221
"307547","NC_035787.1",42755938,42755938,"+",4.07843735072738e-11,1.0423386421701e-09,-54.9019607843137
"308308","NC_035787.1",43903511,43903511,"+",3.94283200281061e-17,2.40102208797816e-15,-52.9679291147181
"309354","NC_035787.1",45643699,45643699,"+",2.75665429872385e-24,4.01963059490548e-22,-54.2735042735043
"309480","NC_035787.1",45658937,45658937,"+",1.92355457593792e-36,9.9980918405108e-34,-56.3772264631043
"309497","NC_035787.1",45660029,45660029,"+",1.8982941593988e-67,1.43517023277559e-63,-57.9658751099384
"309895","NC_035787.1",46132618,46132618,"+",4.78306084161871e-41,3.67177779053934e-38,-52.7268176971121
"310361","NC_035787.1",47224357,47224357,"+",7.22794668460793e-38,4.25307391208804e-35,-50.4090310823125
"311165","NC_035787.1",47787951,47787951,"+",1.4910655694949e-26,2.80336511969869e-24,-63.433014354067
"311403","NC_035787.1",47990102,47990102,"+",1.59743329475915e-66,1.10706743926959e-62,-68.5806467263421
"311439","NC_035787.1",48000628,48000628,"+",1.56922256410659e-13,5.83379483755432e-12,-54.3928665093103
"312280","NC_035787.1",48392397,48392397,"+",2.44428510287605e-16,1.32801759125977e-14,-51.4386337962655
"313685","NC_035787.1",51474327,51474327,"+",1.89775288978816e-76,2.95919459526307e-72,-55.274848102717
"313825","NC_035787.1",52112611,52112611,"+",1.42184465514424e-39,9.69225676214825e-37,-51.7070129650567
"314622","NC_035787.1",52788270,52788270,"+",1.13455775047218e-68,9.1310087604024e-65,-65.9638009049774
"315352","NC_035787.1",53342425,53342425,"+",2.82108439414461e-57,8.58333518691727e-54,-57.6176430660628
"315703","NC_035787.1",54271742,54271742,"+",9.33390916375267e-11,2.24433381702109e-09,-58.2417582417582
"316205","NC_035787.1",55630870,55630870,"+",2.41405403494381e-41,1.91201052874126e-38,-59.478650400305
"316414","NC_035787.1",55936732,55936732,"+",9.92076147315789e-27,1.92467712933642e-24,-50.455680977054
"316522","NC_035787.1",56242011,56242011,"+",5.07577925254444e-56,1.34718959206086e-52,-51.1975694262166
"317670","NC_035787.1",59103899,59103899,"+",5.21958071306698e-37,2.85577916891355e-34,-53.356401384083
"317679","NC_035787.1",59147924,59147924,"+",7.48290691240408e-41,5.58956128434857e-38,-50.8178620285323
"317791","NC_035787.1",59176226,59176226,"+",1.61269670493539e-40,1.18688009589663e-37,-61.244616709733
"318010","NC_035787.1",59437353,59437353,"+",3.10762563279296e-44,3.19062870260012e-41,-58.3245345929425
"319462","NC_035787.1",60366843,60366843,"+",3.87800141448104e-19,3.04540176193935e-17,-51.4767728525161
"321163","NC_035787.1",61149802,61149802,"+",4.40697494371766e-17,2.66544959831286e-15,-53.7004442209371
"322903","NC_035787.1",61910997,61910997,"+",3.96959119225351e-42,3.40335020766514e-39,-59.9215466517232
"322907","NC_035787.1",61911190,61911190,"+",1.1824001369182e-13,4.46762816745648e-12,-50.3508771929825
"325913","NC_035787.1",69874030,69874030,"+",1.76953672845303e-24,2.64519133221139e-22,-59.149959903769
"325994","NC_035787.1",70578759,70578759,"+",1.86587000427807e-31,6.08518511443404e-29,-54.8344947735192
"326990","NC_035787.1",73806757,73806757,"+",1.38769299867035e-12,4.46961124351027e-11,-50.9516256938937
"327055","NC_035787.1",74014235,74014235,"+",2.73371100140983e-34,1.16987077576575e-31,-59.072375127421
"328645","NC_035788.1",11942447,11942447,"+",8.69782955580021e-63,4.61707448968331e-59,-66.4072245322245
"330485","NC_035788.1",20566859,20566859,"+",2.43296926799169e-16,1.3224455025907e-14,-62.6666666666667
"331071","NC_035788.1",26653091,26653091,"+",1.82050224617698e-16,1.0086560980572e-14,-67.2911787665886
