"","chr","start","end","meth.diff","strand","pvalue","qvalue","exon-start","exon-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"27","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630577,12631487,12630576,12697104,"111124937",12630576,12668032,"XM_022468284.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"28","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630577,12631487,12630576,12697104,"111124937",12630577,12697104,"XM_022468254.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"29","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630577,12631487,12630576,12697104,"111124937",12630577,12697104,"XM_022468264.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"30","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",5e-74,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"31","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-88,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"32","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-09,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"33","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-56,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"34","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-61,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"35","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-125,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"36","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",7e-76,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"37","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",4e-21,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"38","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",5e-16,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"39","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-147,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"40","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",1e-56,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"41","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",7e-174,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"42","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",3e-85,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"43","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",4e-74,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"44","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-21,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"45","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-71,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"46","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",7e-14,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"47","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",5e-90,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"48","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-86,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"49","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",5e-125,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"50","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",7e-11,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"51","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",4e-25,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"52","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",6e-79,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"53","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-82,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"54","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",3e-22,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"55","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",1e-77,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"56","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-75,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"57","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",7e-23,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"58","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-57,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"59","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",7e-76,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"60","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",3e-85,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"61","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-18,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"62","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-57,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"63","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-19,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"64","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",4e-73,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"65","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",7e-95,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"66","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",3e-78,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"67","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",5e-90,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"68","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-105,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"69","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-61,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"70","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",7e-88,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"71","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",6e-79,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"72","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",1e-74,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"73","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",7.8,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"74","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-105,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"75","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",6e-15,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"76","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",9e-14,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"77","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",1e-49,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"78","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",9e-14,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"79","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",7e-88,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"80","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",3e-98,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"81","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-74,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"82","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-106,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"83","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",7e-11,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"84","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-71,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"85","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",9e-24,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"86","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",4e-25,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"87","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",9e-24,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"88","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",4e-06,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"89","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-22,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"90","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-84,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"91","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-21,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"92","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431137.1","B3EWZ5","MLRP1_ACRMI",2e-25,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"93","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-77,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
"94","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,15412219,15412410,15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-49,"MAM and LDL-receptor class A domain-containing protein 1-like",NA,NA,NA,NA
