"","chr","start","end","meth.diff","strand","pvalue","qvalue","exon-start","exon-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"18","NC_035780.1",4289629,4289629,-52.2097927746195,"+",2.28939540201561e-25,3.75530692871214e-23,4288592,4290756,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"19","NC_035780.1",4289629,4289629,-52.2097927746195,"+",2.28939540201561e-25,3.75530692871214e-23,4288592,4290756,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",2e-37,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"20","NC_035780.1",8693288,8693288,-52.283522104494,"+",8.98883317830873e-22,9.75904099872946e-20,8692509,8693320,8692509,8698183,"111137060",8692509,8698183,"XM_022488304.1","Q6TGY8","EMC2_DANRE",2e-88,"ER membrane protein complex subunit 2-like","GO:0005634; GO:0005737; GO:0005783; GO:0034975; GO:0072546","protein folding in endoplasmic reticulum [GO:0034975]","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; ER membrane protein complex [GO:0072546]; nucleus [GO:0005634]",""
"21","NC_035780.1",9110275,9110275,-63.6439567402543,"+",1.04638360867521e-52,2.15754272156723e-49,9109982,9111843,9103662,9111843,"111101089",9103662,9111843,"XM_022433383.1","O94889","KLH18_HUMAN",0,"kelch-like protein 18",NA,NA,NA,NA
"162","NC_035780.1",17093219,17093219,-52.9967159277504,"+",1.26074972979324e-14,5.45233072421469e-13,17092983,17093548,17089706,17093548,"111102762",17089706,17093548,"XM_022435632.1","Q06AA4","SNRPA_PIG",1e-38,"U1 small nuclear ribonucleoprotein A-like",NA,NA,NA,NA
"163","NC_035780.1",17093219,17093219,-52.9967159277504,"+",1.26074972979324e-14,5.45233072421469e-13,17092983,17093548,17089706,17093548,"111102762",17089706,17093548,"XM_022435632.1","Q06AA4","SNRPA_PIG",2e-50,"U1 small nuclear ribonucleoprotein A-like",NA,NA,NA,NA
"164","NC_035780.1",19149581,19149581,-61.0240190685735,"+",1.95455199452061e-26,3.63911915545465e-24,19149513,19149749,19113704,19150486,"111126296",19118677,19149749,"XM_022470822.1","O60244","MED14_HUMAN",0,"mediator of RNA polymerase II transcription subunit 14-like",NA,NA,NA,NA
"165","NC_035780.1",19149581,19149581,-61.0240190685735,"+",1.95455199452061e-26,3.63911915545465e-24,19149513,19149749,19113704,19150486,"111126296",19113704,19149749,"XM_022470831.1","O60244","MED14_HUMAN",0,"mediator of RNA polymerase II transcription subunit 14-like",NA,NA,NA,NA
"166","NC_035780.1",19149581,19149581,-61.0240190685735,"+",1.95455199452061e-26,3.63911915545465e-24,19149513,19149749,19113704,19150486,"111126296",19120062,19150486,"XM_022470841.1","O60244","MED14_HUMAN",0,"mediator of RNA polymerase II transcription subunit 14-like",NA,NA,NA,NA
"167","NC_035780.1",19149581,19149581,-61.0240190685735,"+",1.95455199452061e-26,3.63911915545465e-24,19149513,19150486,19113704,19150486,"111126296",19118677,19149749,"XM_022470822.1","O60244","MED14_HUMAN",0,"mediator of RNA polymerase II transcription subunit 14-like",NA,NA,NA,NA
"168","NC_035780.1",19149581,19149581,-61.0240190685735,"+",1.95455199452061e-26,3.63911915545465e-24,19149513,19150486,19113704,19150486,"111126296",19113704,19149749,"XM_022470831.1","O60244","MED14_HUMAN",0,"mediator of RNA polymerase II transcription subunit 14-like",NA,NA,NA,NA
"169","NC_035780.1",19149581,19149581,-61.0240190685735,"+",1.95455199452061e-26,3.63911915545465e-24,19149513,19150486,19113704,19150486,"111126296",19120062,19150486,"XM_022470841.1","O60244","MED14_HUMAN",0,"mediator of RNA polymerase II transcription subunit 14-like",NA,NA,NA,NA
"172","NC_035780.1",19968153,19968153,-60.0470430107527,"+",5.91304462135748e-20,5.13308243455607e-18,19967534,19968185,19964628,19969093,"111102183",19964628,19969093,"XM_022434871.1","Q8BNU0","ARMC6_MOUSE",2e-121,"armadillo repeat-containing protein 6-like","GO:0002244; GO:0005829","hematopoietic progenitor cell differentiation [GO:0002244]","cytosol [GO:0005829]",""
"178","NC_035780.1",24258095,24258095,-50.2401798176446,"+",9.57483535031815e-29,2.30582001947028e-26,24257675,24259293,24250832,24260358,"111130305",24250832,24260358,"XM_022477202.1","P10076","ZFP26_MOUSE",1e-32,"zinc finger and BTB domain-containing protein 17-like",NA,NA,NA,NA
"179","NC_035780.1",24258095,24258095,-50.2401798176446,"+",9.57483535031815e-29,2.30582001947028e-26,24257675,24259293,24250832,24260358,"111130305",24250832,24260358,"XM_022477202.1","P10076","ZFP26_MOUSE",2e-33,"zinc finger and BTB domain-containing protein 17-like",NA,NA,NA,NA
"180","NC_035780.1",24258095,24258095,-50.2401798176446,"+",9.57483535031815e-29,2.30582001947028e-26,24257675,24259293,24250832,24260358,"111130305",24250832,24260358,"XM_022477202.1","P10076","ZFP26_MOUSE",2e-28,"zinc finger and BTB domain-containing protein 17-like",NA,NA,NA,NA
"181","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451510.1","Q7KRY7","LAP4_DROME",2e-58,"protein scribble homolog",NA,NA,NA,NA
"182","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451376.1","Q7KRY7","LAP4_DROME",1e-18,"protein scribble homolog",NA,NA,NA,NA
"183","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662146,26696606,"XM_022451353.1","Q7KRY7","LAP4_DROME",4e-15,"protein scribble homolog",NA,NA,NA,NA
"184","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451338.1","Q7KRY7","LAP4_DROME",7e-23,"protein scribble homolog",NA,NA,NA,NA
"185","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451385.1","Q7KRY7","LAP4_DROME",1e-18,"protein scribble homolog",NA,NA,NA,NA
"186","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451367.1","Q7KRY7","LAP4_DROME",6e-23,"protein scribble homolog",NA,NA,NA,NA
"193","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451491.1","Q7KRY7","LAP4_DROME",1e-159,"protein scribble homolog",NA,NA,NA,NA
"195","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451402.1","Q7KRY7","LAP4_DROME",5e-15,"protein scribble homolog",NA,NA,NA,NA
"196","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451338.1","Q7KRY7","LAP4_DROME",6e-159,"protein scribble homolog",NA,NA,NA,NA
"199","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451376.1","Q7KRY7","LAP4_DROME",7e-23,"protein scribble homolog",NA,NA,NA,NA
"201","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451473.1","Q7KRY7","LAP4_DROME",7e-19,"protein scribble homolog",NA,NA,NA,NA
"204","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451376.1","Q7KRY7","LAP4_DROME",4e-13,"protein scribble homolog",NA,NA,NA,NA
"205","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662146,26696606,"XM_022451353.1","Q7KRY7","LAP4_DROME",2e-20,"protein scribble homolog",NA,NA,NA,NA
"206","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451510.1","Q7KRY7","LAP4_DROME",1e-12,"protein scribble homolog",NA,NA,NA,NA
"207","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451510.1","Q7KRY7","LAP4_DROME",6e-11,"protein scribble homolog",NA,NA,NA,NA
"208","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451483.1","Q7KRY7","LAP4_DROME",6e-11,"protein scribble homolog",NA,NA,NA,NA
"209","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451510.1","Q7KRY7","LAP4_DROME",8e-23,"protein scribble homolog",NA,NA,NA,NA
"211","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451491.1","Q7KRY7","LAP4_DROME",9e-13,"protein scribble homolog",NA,NA,NA,NA
"212","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451465.1","Q7KRY7","LAP4_DROME",6e-11,"protein scribble homolog",NA,NA,NA,NA
"215","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451385.1","Q7KRY7","LAP4_DROME",6e-23,"protein scribble homolog",NA,NA,NA,NA
"216","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662144,26696606,"XM_022451426.1","Q7KRY7","LAP4_DROME",4e-13,"protein scribble homolog",NA,NA,NA,NA
"217","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26659273,26696606,"XM_022451526.1","Q7KRY7","LAP4_DROME",2e-158,"protein scribble homolog",NA,NA,NA,NA
"219","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662147,26696606,"XM_022451436.1","Q7KRY7","LAP4_DROME",6e-23,"protein scribble homolog",NA,NA,NA,NA
"220","NC_035780.1",26676904,26676904,-61.473707966599,"+",1.97073488282654e-41,1.58606271668681e-38,26676812,26677063,26659273,26696606,"111113238",26662145,26696606,"XM_022451473.1","Q7KRY7","LAP4_DROME",4e-11,"protein scribble homolog",NA,NA,NA,NA
