"","chr","start","end","meth.diff","strand","pvalue","qvalue","dist-to-closest-gene","gene-chr","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-Accession","Uniprot-ID","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"42","NC_035780.1",27482717,27482717,52.0311149524633,"+",1.14723968836811e-26,2.20173302601652e-24,0,"NC_035780.1",27467847,27490600,"111129824",27467847,27490600,"XM_022476295.1","Q805F9","DDB1_CHICK",0,"DNA damage-binding protein 1-like","GO:0003684; GO:0005634; GO:0005654; GO:0005737; GO:0006281; GO:0016567; GO:0031464; GO:0031465; GO:0042752; GO:0043161; GO:0048511; GO:0080008","DNA repair [GO:0006281]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]","Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","damaged DNA binding [GO:0003684]"
"53","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32754200,32800756,"XM_022486743.1","Q9C0H5","RHG39_HUMAN",6e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"55","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32760682,32800756,"XM_022486726.1","Q9C0H5","RHG39_HUMAN",4e-43,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"56","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32774894,32800756,"XM_022486752.1","Q9C0H5","RHG39_HUMAN",6e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"57","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32769864,32800756,"XM_022486761.1","Q9C0H5","RHG39_HUMAN",3e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"59","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32774894,32800756,"XM_022486752.1","Q9C0H5","RHG39_HUMAN",6e-22,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"61","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32764085,32800756,"XM_022486734.1","Q9C0H5","RHG39_HUMAN",2e-161,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"66","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32764085,32800756,"XM_022486734.1","Q9C0H5","RHG39_HUMAN",3e-41,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"70","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32754200,32800756,"XM_022486743.1","Q9C0H5","RHG39_HUMAN",2e-41,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"73","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32780044,32800756,"XM_022486775.1","Q9C0H5","RHG39_HUMAN",2e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"74","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32760682,32800756,"XM_022486715.1","Q9C0H5","RHG39_HUMAN",1e-40,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"75","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32781557,32800756,"XM_022486782.1","Q9C0H5","RHG39_HUMAN",7e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"76","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32785998,32800756,"XM_022486791.1","Q9C0H5","RHG39_HUMAN",8e-163,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"77","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32769864,32800756,"XM_022486761.1","Q9C0H5","RHG39_HUMAN",1e-22,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"78","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32780043,32800756,"XM_022486769.1","Q9C0H5","RHG39_HUMAN",3e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"80","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32760682,32800756,"XM_022486726.1","Q9C0H5","RHG39_HUMAN",5e-161,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"84","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,0,"NC_035780.1",32754200,32800756,"111136106",32760682,32800756,"XM_022486715.1","Q9C0H5","RHG39_HUMAN",6e-161,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"85","NC_035780.1",38085953,38085953,59.5918367346939,"+",1.34635907565697e-25,2.2696193903319e-23,0,"NC_035780.1",38078620,38087856,"111104099",38078620,38087856,"XM_022437850.1","Q91W90","TXND5_MOUSE",4e-109,"thioredoxin domain-containing protein 5-like","GO:0005788; GO:0016853; GO:0043277; GO:0045454","apoptotic cell clearance [GO:0043277]; cell redox homeostasis [GO:0045454]","endoplasmic reticulum lumen [GO:0005788]","isomerase activity [GO:0016853]"
