"","GO.BP","n"
"60"," DNA clamp unloading [GO:0090618]",3
"61"," DNA damage checkpoint [GO:0000077]",2
"62"," DNA damage induced protein phosphorylation [GO:0006975]",2
"63"," DNA replication [GO:0006260]",4
"64"," DNA topological change [GO:0006265]",1
"65"," dosage compensation by inactivation of X chromosome [GO:0009048]",20
"66"," early endosome to Golgi transport [GO:0034498]",1
"67"," embryo development ending in birth or egg hatching [GO:0009792]",2
"68"," embryo implantation [GO:0007566]",1
"69"," embryonic forelimb morphogenesis [GO:0035115]",1
"70"," embryonic organ development [GO:0048568]",2
"71"," endosomal transport [GO:0016197]",1
"72"," endosome to lysosome transport [GO:0008333]",1
"73"," epithelial cilium movement [GO:0003351]",8
"74"," epithelial to mesenchymal transition [GO:0001837]",10
"75"," establishment of cell polarity [GO:0030010]",2
"76"," eye photoreceptor cell differentiation [GO:0001754]",2
"77"," fat cell differentiation [GO:0045444]",7
"78"," G protein-coupled receptor signaling pathway [GO:0007186]",17
"79"," glutamate homeostasis [GO:0090461]",1
"80"," glycerolipid metabolic process [GO:0046486]",136
"81"," histone arginine methylation [GO:0034969]",1
"82"," histone H2A-T120 phosphorylation [GO:1990245]",2
"83"," histone H3-R17 methylation [GO:0034971]",1
"84"," homeostasis of number of cells [GO:0048872]",2
"85"," inner dynein arm assembly [GO:0036159]",7
"86"," intein-mediated protein splicing [GO:0016539]",5
"87"," intermediate filament organization [GO:0045109]",3
"88"," intermembrane lipid transfer [GO:0120009]",1
"89"," intracellular mRNA localization [GO:0008298]",12
"90"," intracellular protein transport [GO:0006886]",3
"91"," intracellular signal transduction [GO:0035556]",136
"92"," ion transport [GO:0006811]",2
"93"," MAPK cascade [GO:0000165]",2
"94"," meiotic sister chromatid cohesion",2
"95"," membrane hyperpolarization [GO:0060081]",1
"96"," microtubule cytoskeleton organization [GO:0000226]",6
"97"," mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]",4
"98"," mitochondrial fusion [GO:0008053]",1
"99"," mitochondrial protein processing [GO:0034982]",1
"100"," mitotic recombination [GO:0006312]",2
"101"," mRNA 3'-end processing [GO:0031124]",1
"102"," mRNA export from nucleus [GO:0006406]",2
"103"," multicellular organism development [GO:0007275]",10
"104"," negative regulation of apoptotic process [GO:0043066]",1
"105"," negative regulation of cell migration [GO:0030336]",7
"106"," negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]",1
"107"," negative regulation of fat cell proliferation [GO:0070345]",2
"108"," negative regulation of microtubule depolymerization [GO:0007026]",63
"109"," negative regulation of transcription by RNA polymerase II [GO:0000122]",4
"110"," nervous system development [GO:0007399]",4
"111"," neuroblast delamination [GO:0060234]",10
"112"," nuclear pore complex assembly [GO:0051292]",1
"113"," nuclear protein quality control by the ubiquitin-proteasome system [GO:0071630]",4
"114"," nuclear-transcribed mRNA catabolic process",4
"115"," oocyte maturation [GO:0001556]",2
"116"," peptidyl-arginine methylation",2
"117"," peptidyl-lysine methylation [GO:0018022]",6
"118"," phosphatidylinositol phosphorylation [GO:0046854]",3
"119"," positive regulation of apoptotic process [GO:0043065]",17
"120"," positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]",24
"121"," positive regulation of cellular protein catabolic process [GO:1903364]",4
"122"," positive regulation of gastrulation [GO:2000543]",1
"123"," positive regulation of protein dephosphorylation [GO:0035307]",24
"124"," positive regulation of Schwann cell migration [GO:1900149]",3
"125"," positive regulation of transcription",12
"126"," positive regulation of transcription by RNA polymerase II [GO:0045944]",2
"127"," positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]",2
"128"," positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]",1
"129"," proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]",1
"130"," protein ADP-ribosylation [GO:0006471]",1
"131"," protein localization to M-band [GO:0036309]",6
"132"," protein transport [GO:0015031]",1
"133"," protein ubiquitination [GO:0016567]",7
"134"," Ral protein signal transduction [GO:0032484]",6
"135"," receptor-mediated endocytosis [GO:0006898]",6
"136"," reciprocal meiotic recombination [GO:0007131]",2
"137"," regulation of apoptotic process [GO:0042981]",1
"138"," regulation of cell division [GO:0051302]",1
"139"," regulation of cell population proliferation [GO:0042127]",4
"140"," regulation of cell shape [GO:0008360]",4
"141"," regulation of cytokine biosynthetic process [GO:0042035]",4
"142"," regulation of exocyst localization [GO:0060178]",6
"143"," regulation of intracellular pH [GO:0051453]",9
"144"," regulation of small GTPase mediated signal transduction [GO:0051056]",20
"145"," regulation of transcription",3
"146"," regulation of transcription by RNA polymerase II [GO:0006357]",4
"147"," regulation of translation [GO:0006417]",1
"148"," response to alkaloid [GO:0043279]",1
"149"," response to toxic substance [GO:0009636]",1
"150"," rhythmic process [GO:0048511]",2
"151"," signal transduction [GO:0007165]",16
"152"," snRNA transcription [GO:0009301]",4
"153"," spermatogenesis [GO:0007283]",7
"154"," translation [GO:0006412]",1
"155"," translational initiation [GO:0006413]",1
"156"," ubiquitin-dependent protein catabolic process [GO:0006511]",2
"157"," vesicle-mediated transport [GO:0016192]",1
"158","3'-UTR-mediated mRNA destabilization [GO:0061158]",12
"159","acetate biosynthetic process [GO:0019413]",1
"160","acetyl-CoA biosynthetic process [GO:0006085]",2
"161","acetyl-CoA metabolic process [GO:0006084]",2
"162","acrosome assembly [GO:0001675]",3
"163","actin cytoskeleton organization [GO:0030036]",5
"164","actin cytoskeleton reorganization [GO:0031532]",2
"165","actin filament organization [GO:0007015]",2
"166","actin polymerization-dependent cell motility [GO:0070358]",2
"167","activation of GTPase activity [GO:0090630]",23
"168","activation of JNKK activity [GO:0007256]",2
"169","activation of protein kinase activity [GO:0032147]",2
"170","activation of protein kinase B activity [GO:0032148]",7
"171","adult somatic muscle development [GO:0007527]",6
"172","angiogenesis [GO:0001525]",14
"173","antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]",7
"174","antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]",68
"175","apoptotic cell clearance [GO:0043277]",1
"176","apoptotic process [GO:0006915]",25
"177","arachidonic acid metabolic process [GO:0019369]",2
"178","autophagosome assembly [GO:0000045]",4
"179","axo-dendritic transport [GO:0008088]",2
"180","B cell differentiation [GO:0030183]",2
"181","B cell proliferation [GO:0042100]",3
"182","bicarbonate transport [GO:0015701]",9
"183","blastocyst growth [GO:0001832]",2
"184","blood coagulation [GO:0007596]",1
"185","blood vessel maturation [GO:0001955]",1
"186","branching involved in ureteric bud morphogenesis [GO:0001658]",21
"187","branchiomotor neuron axon guidance [GO:0021785]",2
"188","cation transport [GO:0006812]",3
"189","cell cycle [GO:0007049]",34
"190","cell differentiation [GO:0030154]",30
"191","cell division [GO:0051301]",24
"192","cell migration [GO:0016477]",63
"193","cell projection organization [GO:0030030]",1
"194","cellular potassium ion homeostasis [GO:0030007]",1
"195","cellular response to anoxia [GO:0071454]",1
"196","cellular response to DNA damage stimulus [GO:0006974]",2
"197","cellular response to hydrogen peroxide [GO:0070301]",4
"198","cellular response to leukemia inhibitory factor [GO:1990830]",1
"199","cellular response to lipopolysaccharide [GO:0071222]",3
"200","centriole replication [GO:0007099]",14
"201","centriole-centriole cohesion [GO:0010457]",9
"202","ceramide 1-phosphate transport [GO:1902389]",1
"203","cerebellar Purkinje cell differentiation [GO:0021702]",2
"204","chromatin remodeling [GO:0006338]",2
"205","cilium assembly [GO:0060271]",4
"206","cilium movement [GO:0003341]",8
"207","cilium-dependent cell motility [GO:0060285]",7
"208","clathrin coat assembly [GO:0048268]",2
"209","cristae formation [GO:0042407]",1
"210","cytoplasmic microtubule organization [GO:0031122]",6
"211","cytoskeleton organization [GO:0007010]",4
"212","delamination [GO:0060232]",10
"213","dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]",4
"214","diacylglycerol metabolic process [GO:0046339]",136
"215","DNA repair [GO:0006281]",1
"216","double-strand break repair via homologous recombination [GO:0000724]",4
"217","endoplasmic reticulum unfolded protein response [GO:0030968]",2
"218","endothelial cell morphogenesis [GO:0001886]",17
"219","entrainment of circadian clock by photoperiod [GO:0043153]",2
"220","ergothioneine biosynthetic process [GO:0052699]",1
"221","formation of translation preinitiation complex [GO:0001731]",1
"222","glucuronoside catabolic process [GO:0019391]",1
"223","GPI anchor biosynthetic process [GO:0006506]",1
"224","hematopoietic progenitor cell differentiation [GO:0002244]",2
"225","histone arginine methylation [GO:0034969]",1
"226","intracellular mRNA localization [GO:0008298]",1
"227","intracellular transport [GO:0046907]",1
"228","intracellular transport of virus [GO:0075733]",1
"229","iron ion homeostasis [GO:0055072]",4
"230","membrane organization [GO:0061024]",6
"231","microtubule-based movement [GO:0007018]",24
"232","mitochondrial translation [GO:0032543]",1
"233","mitochondrion organization [GO:0007005]",6
"234","mitotic cell cycle [GO:0000278]",2
"235","mRNA cis splicing",1
"236","mRNA export from nucleus [GO:0006406]",1
"237","mRNA processing [GO:0006397]",5
"238","mRNA splicing",5
"239","multicellular organism development [GO:0007275]",1
"240","negative regulation of fat cell differentiation [GO:0045599]",37
"241","negative regulation of signal transduction [GO:0009968]",2
"242","negative regulation of Wnt signaling pathway [GO:0030178]",1
"243","neuromuscular process controlling balance [GO:0050885]",24
"244","phosphatidylinositol-mediated signaling [GO:0048015]",3
"245","positive regulation of canonical Wnt signaling pathway [GO:0090263]",1
"246","positive regulation of gene expression [GO:0010628]",12
"247","positive regulation of transcription",1
"248","positive regulation of translation [GO:0045727]",1
"249","postsynapse organization [GO:0099173]",16
"250","protein deubiquitination [GO:0016579]",4
"251","protein folding in endoplasmic reticulum [GO:0034975]",1
"252","protein import into nucleus [GO:0006606]",5
"253","protein localization [GO:0008104]",1
"254","protein polyubiquitination [GO:0000209]",1
"255","proteolysis [GO:0006508]",4
"256","receptor-mediated endocytosis [GO:0006898]",5
"257","regulation of growth [GO:0040008]",1
"258","regulation of transcription",1
"259","sensory perception of sound [GO:0007605]",203
"260","signal transduction [GO:0007165]",1
"261","steroid biosynthetic process [GO:0006694]",8
