pvalue,GO
5.770812e-08,GO:0000082; GO:0000086; GO:0000122; GO:0000287; GO:0000307; GO:0000781; GO:0000793; GO:0000805; GO:0000806; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0006260; GO:0006281; GO:0006468; GO:0006813; GO:0006977; GO:0007099; GO:0007265; GO:0008284; GO:0010389; GO:0015030; GO:0016572; GO:0018105; GO:0019904; GO:0030332; GO:0031145; GO:0031571; GO:0032298; GO:0045893; GO:0051298; GO:0051301; GO:0051321; GO:0060968; GO:0071732; GO:0097123; GO:0097124; GO:0097134; GO:0097135; GO:0097472; GO:1901796
9.473737e-27,GO:0000724; GO:0000778; GO:0000780; GO:0000793; GO:0000794; GO:0000795; GO:0000800; GO:0001556; GO:0001673; GO:0003682; GO:0005634; GO:0005654; GO:0006302; GO:0007062; GO:0007129; GO:0007130; GO:0007141; GO:0007286; GO:0009566; GO:0030893; GO:0034991; GO:0051321; GO:0072520
1.175645e-09,GO:0000122; GO:0000175; GO:0000289; GO:0000290; GO:0000932; GO:0003714; GO:0003723; GO:0004532; GO:0004535; GO:0008134; GO:0008284; GO:0008285; GO:0016607; GO:0017148; GO:0030014; GO:0030015; GO:0031047; GO:0033962; GO:0042509; GO:0043928; GO:0045070; GO:0045944; GO:0046872; GO:0051607; GO:0060213; GO:0060339; GO:0075341; GO:1900153
9.65635e-17,GO:0000175; GO:0000957; GO:0000958; GO:0000962; GO:0000963; GO:0000964; GO:0000965; GO:0003723; GO:0004654; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0005789; GO:0005829; GO:0006401; GO:0006402; GO:0008266; GO:0034046; GO:0034599; GO:0035198; GO:0035458; GO:0035927; GO:0035928; GO:0042788; GO:0043457; GO:0043631; GO:0045025; GO:0045926; GO:0051260; GO:0051591; GO:0060416; GO:0061014; GO:0070207; GO:0070584; GO:0071042; GO:0071850; GO:0097222; GO:0097421; GO:2000627; GO:2000772
5.95435e-14,GO:0000086; GO:0000278; GO:0000398; GO:0000974; GO:0000977; GO:0001222; GO:0001228; GO:0003723; GO:0005634; GO:0005662; GO:0006281; GO:0006355; GO:0008157; GO:0016607; GO:0019901; GO:0032993; GO:0043522; GO:0044344; GO:0048471; GO:0071007; GO:0071352; GO:0071987; GO:0072422; GO:1904568; GO:1990090; GO:1990646
6.749043e-19,GO:0000122; GO:0000400; GO:0000724; GO:0000790; GO:0000978; GO:0000980; GO:0000981; GO:0000987; GO:0001158; GO:0001227; GO:0003677; GO:0003700; GO:0003713; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006357; GO:0006403; GO:0006974; GO:0007283; GO:0008270; GO:0009952; GO:0010225; GO:0010629; GO:0016363; GO:0016579; GO:0030154; GO:0031011; GO:0031519; GO:0032688; GO:0034644; GO:0034696; GO:0043565; GO:0044212; GO:0045944; GO:0046332; GO:0048593; GO:0051276; GO:0061052; GO:0071347; GO:1902894
6.513104e-05,GO:0000109; GO:0000405; GO:0000993; GO:0003690; GO:0003697; GO:0004520; GO:0005634; GO:0005654; GO:0006283; GO:0006289; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0009411; GO:0009650; GO:0010225; GO:0033683; GO:0042803; GO:0043066; GO:0044877; GO:0046872; GO:0047485
3.665533e-05,GO:0000922; GO:0001096; GO:0004721; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0006366; GO:0006368; GO:0006470; GO:0008420; GO:0010458; GO:0030496; GO:0030957; GO:0032991; GO:0043231; GO:0043923; GO:0050434; GO:0051233; GO:0051301; GO:0061052; GO:0070940
0.4693896,GO:0000176; GO:0000177; GO:0000178; GO:0000228; GO:0000467; GO:0001102; GO:0005654; GO:0005730; GO:0016075; GO:0017091; GO:0030307; GO:0034427; GO:0034473; GO:0034475; GO:0034476; GO:0035925; GO:0043928; GO:0045944; GO:0071028; GO:0071035; GO:0071038; GO:0071042
3.710479e-29,GO:0001042; GO:0001164; GO:0001181; GO:0001701; GO:0005634; GO:0005654; GO:0005730; GO:0006361; GO:0007000; GO:0007028; GO:0008283; GO:0010976; GO:0042254; GO:0045893; GO:0048872; GO:1902254; GO:2000142
0.0001036667,GO:0000976; GO:0000977; GO:0001228; GO:0005634; GO:0005654; GO:0005783; GO:0005789; GO:0005829; GO:0016020; GO:0016021; GO:0030968; GO:0035497; GO:0042803; GO:0045944; GO:0046982; GO:1990440
6.667244e-15,GO:0000405; GO:0000723; GO:0000724; GO:0000733; GO:0000781; GO:0001501; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006260; GO:0006268; GO:0006281; GO:0006310; GO:0008270; GO:0008284; GO:0009378; GO:0032357; GO:0032508; GO:0036310; GO:0043140; GO:0043473; GO:0045875; GO:0048705; GO:0061820; GO:0061821
1.010727e-09,GO:0000977; GO:0000978; GO:0000981; GO:0001222; GO:0001223; GO:0001228; GO:0001525; GO:0003677; GO:0003700; GO:0003707; GO:0004879; GO:0005634; GO:0005654; GO:0006355; GO:0006367; GO:0006805; GO:0006809; GO:0008013; GO:0008134; GO:0008142; GO:0008270; GO:0008589; GO:0010575; GO:0010906; GO:0019218; GO:0019221; GO:0021702; GO:0021930; GO:0030522; GO:0032922; GO:0036315; GO:0042632; GO:0042692; GO:0042753; GO:0043030; GO:0043124; GO:0043565; GO:0045599; GO:0045893; GO:0045944; GO:0046068; GO:0050728; GO:0060850; GO:0070328; GO:0071347; GO:0071356; GO:0071456; GO:0072539; GO:0098531
3.219586e-05,GO:0000978; GO:0001228; GO:0001553; GO:0001779; GO:0001889; GO:0003677; GO:0003682; GO:0003690; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006355; GO:0006357; GO:0006366; GO:0006952; GO:0006953; GO:0007259; GO:0007548; GO:0007565; GO:0007595; GO:0008284; GO:0019218; GO:0019221; GO:0019530; GO:0019915; GO:0030155; GO:0030856; GO:0032355; GO:0032496; GO:0032819; GO:0032825; GO:0032870; GO:0033077; GO:0035259; GO:0040014; GO:0040018; GO:0042104; GO:0042127; GO:0042448; GO:0043029; GO:0043066; GO:0043434; GO:0043565; GO:0045086; GO:0045579; GO:0045588; GO:0045621; GO:0045647; GO:0045648; GO:0045931; GO:0045944; GO:0045954; GO:0046543; GO:0046544; GO:0046983; GO:0048541; GO:0048661; GO:0050729; GO:0051272; GO:0060397; GO:0070669; GO:0070670; GO:0070672; GO:0071363; GO:0071364; GO:0097531
7.167194e-17,GO:0000185; GO:0000187; GO:0001701; GO:0002223; GO:0002755; GO:0003007; GO:0003279; GO:0004722; GO:0004724; GO:0005634; GO:0005829; GO:0007179; GO:0007249; GO:0007254; GO:0008047; GO:0010008; GO:0016579; GO:0016607; GO:0030295; GO:0030324; GO:0032991; GO:0035904; GO:0038095; GO:0044877; GO:0048273; GO:0051092; GO:0060976; GO:0070423; GO:0070498
2.658033e-07,GO:0000159; GO:0001754; GO:0005509; GO:0006470; GO:0007525; GO:0019888; GO:0030674; GO:0045732; GO:0061053; GO:0090090; GO:0090244; GO:0090249; GO:0090263
3.705391e-21,GO:0001702; GO:0001736; GO:0001764; GO:0001843; GO:0001942; GO:0004888; GO:0004930; GO:0005509; GO:0005654; GO:0005886; GO:0005887; GO:0007156; GO:0007165; GO:0007186; GO:0007266; GO:0007267; GO:0007417; GO:0007626; GO:0009952; GO:0016020; GO:0032956; GO:0042060; GO:0042249; GO:0042472; GO:0045176; GO:0046928; GO:0046983; GO:0048105; GO:0060488; GO:0060489; GO:0060490; GO:0090179; GO:0090251; GO:0098609
0.003570451,GO:0000226; GO:0001782; GO:0002759; GO:0005634; GO:0005794; GO:0005813; GO:0005819; GO:0005829; GO:0030865; GO:0032147; GO:0035303; GO:0043029; GO:0045579; GO:0046872; GO:0048536; GO:0051900
0.007904609,GO:0001541; GO:0001764; GO:0001776; GO:0001777; GO:0001782; GO:0001783; GO:0001822; GO:0001836; GO:0001844; GO:0001974; GO:0002262; GO:0002352; GO:0002358; GO:0002904; GO:0005634; GO:0005635; GO:0005737; GO:0005739; GO:0005741; GO:0005757; GO:0005783; GO:0005789; GO:0005829; GO:0006687; GO:0006808; GO:0006915; GO:0006919; GO:0006974; GO:0007007; GO:0007008; GO:0007281; GO:0007283; GO:0007399; GO:0007548; GO:0008053; GO:0008283; GO:0008285; GO:0008289; GO:0008584; GO:0008625; GO:0008630; GO:0008635; GO:0008637; GO:0009566; GO:0009611; GO:0009636; GO:0009651; GO:0009791; GO:0010212; GO:0010248; GO:0010332; GO:0010524; GO:0010917; GO:0015267; GO:0016021; GO:0016032; GO:0021854; GO:0021987; GO:0030544; GO:0031072; GO:0031966; GO:0032091; GO:0032461; GO:0032471; GO:0032976; GO:0033137; GO:0033599; GO:0034644; GO:0035108; GO:0035234; GO:0042475; GO:0042802; GO:0042803; GO:0043065; GO:0043281; GO:0043496; GO:0043497; GO:0043523; GO:0043524; GO:0043525; GO:0043653; GO:0044877; GO:0045136; GO:0045333; GO:0046666; GO:0046930; GO:0046982; GO:0048087; GO:0048147; GO:0048471; GO:0048515; GO:0048597; GO:0048678; GO:0048872; GO:0048873; GO:0051087; GO:0051259; GO:0051260; GO:0051281; GO:0051400; GO:0051402; GO:0051434; GO:0051726; GO:0060011; GO:0060041; GO:0060058; GO:0060068; GO:0070059; GO:0070242; GO:0070584; GO:0071310; GO:0071944; GO:0072332; GO:0090200; GO:0097136; GO:0097144; GO:0097190; GO:0097191; GO:0097192; GO:0097193; GO:0097296; GO:1900103; GO:1902108; GO:1902110; GO:1902262; GO:1902263; GO:1902445; GO:1902512; GO:1990117; GO:2001234; GO:2001241; GO:2001244
8.105793e-12,GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0001825; GO:0003677; GO:0003682; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0007005; GO:0010628; GO:0030154; GO:0033613; GO:0044212; GO:0045653; GO:0045944; GO:0046982; GO:1903351
2.039902e-05,GO:0000082; GO:0000086; GO:0000287; GO:0000819; GO:0000922; GO:0001827; GO:0001828; GO:0004674; GO:0005524; GO:0005815; GO:0005829; GO:0006468; GO:0009755; GO:0018105; GO:0019901; GO:0030216; GO:0030331; GO:0030833; GO:0033138; GO:0033146; GO:0034613; GO:0035329; GO:0035556; GO:0043065; GO:0043254; GO:0045736; GO:0046620; GO:0051220; GO:0051301; GO:0060644; GO:0090090; GO:2000058
0.0003069586,GO:0000122; GO:0000289; GO:0000932; GO:0001226; GO:0001829; GO:0003712; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006357; GO:0006977; GO:0010606; GO:0016020; GO:0017148; GO:0030014; GO:0030015; GO:0031047; GO:0033147; GO:0090503; GO:2000036
0.01893643,GO:0000209; GO:0000785; GO:0000790; GO:0001701; GO:0001741; GO:0001835; GO:0004842; GO:0005524; GO:0006281; GO:0008284; GO:0009411; GO:0016567; GO:0031625; GO:0033503; GO:0033522; GO:0043161; GO:0051865; GO:0060135; GO:0061631; GO:0070936; GO:0070979
7.776681e-11,GO:0001568; GO:0001570; GO:0001701; GO:0001885; GO:0001944; GO:0005737; GO:0005739; GO:0007507; GO:0032991; GO:0035264; GO:0045216; GO:0048839; GO:0048845; GO:0060039; GO:0060837; GO:0061154
6.314943e-13,GO:0000978; GO:0000981; GO:0001228; GO:0001889; GO:0001952; GO:0002064; GO:0003677; GO:0005634; GO:0005654; GO:0009887; GO:0015629; GO:0030154; GO:0030335; GO:0030512; GO:0031018; GO:0045165; GO:0045944; GO:0048935; GO:0060271
0.0812092,GO:0000139; GO:0000242; GO:0001764; GO:0001891; GO:0001934; GO:0002093; GO:0002551; GO:0003382; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005802; GO:0005829; GO:0005886; GO:0006897; GO:0006911; GO:0006935; GO:0006972; GO:0007010; GO:0007015; GO:0007155; GO:0007186; GO:0007264; GO:0007266; GO:0007411; GO:0008045; GO:0008283; GO:0008361; GO:0010591; GO:0010592; GO:0010762; GO:0010811; GO:0014041; GO:0016020; GO:0016358; GO:0016477; GO:0016601; GO:0017137; GO:0019897; GO:0019899; GO:0019901; GO:0021799; GO:0021831; GO:0021894; GO:0022604; GO:0030027; GO:0030031; GO:0030032; GO:0030036; GO:0030041; GO:0030334; GO:0030742; GO:0030838; GO:0030900; GO:0031116; GO:0031410; GO:0031529; GO:0031901; GO:0031996; GO:0032587; GO:0032707; GO:0034446; GO:0035567; GO:0035774; GO:0036464; GO:0042470; GO:0042826; GO:0042995; GO:0043197; GO:0043552; GO:0043652; GO:0044877; GO:0045216; GO:0045428; GO:0045453; GO:0045740; GO:0048012; GO:0048168; GO:0048532; GO:0048812; GO:0048813; GO:0048870; GO:0048873; GO:0051022; GO:0051117; GO:0051492; GO:0051496; GO:0051668; GO:0051894; GO:0051932; GO:0055038; GO:0060071; GO:0060091; GO:0060263; GO:0060999; GO:0071260; GO:0071526; GO:0071542; GO:0072659; GO:0090023; GO:0090103; GO:0097178; GO:0098794; GO:0098978; GO:1900026; GO:1902622; GO:1904948
3.853418e-12,GO:0000139; GO:0000165; GO:0001933; GO:0005794; GO:0010977; GO:0016021; GO:0033137; GO:0034067; GO:0038023; GO:0043407
3.298574e-42,GO:0000122; GO:0000723; GO:0000781; GO:0000790; GO:0000793; GO:0001939; GO:0001940; GO:0005634; GO:0005737; GO:0005886; GO:0006281; GO:0006348; GO:0006974; GO:0007049; GO:0016604; GO:0019827; GO:0031965; GO:0035861; GO:0043247; GO:0045830; GO:0051233; GO:0051574; GO:1990830; GO:2000042; GO:2001034
6.722893e-25,GO:0000122; GO:0000281; GO:0000776; GO:0001708; GO:0001822; GO:0001942; GO:0002020; GO:0005634; GO:0005737; GO:0005813; GO:0005874; GO:0005886; GO:0005912; GO:0005923; GO:0005938; GO:0006974; GO:0007026; GO:0007050; GO:0007091; GO:0007094; GO:0007163; GO:0007389; GO:0007409; GO:0008013; GO:0008017; GO:0008285; GO:0008286; GO:0009798; GO:0009952; GO:0009953; GO:0009954; GO:0010942; GO:0016055; GO:0016328; GO:0016342; GO:0016477; GO:0019827; GO:0019887; GO:0019901; GO:0030027; GO:0030178; GO:0030334; GO:0030335; GO:0030424; GO:0030425; GO:0030426; GO:0030856; GO:0030858; GO:0030877; GO:0031116; GO:0031122; GO:0031175; GO:0031253; GO:0031274; GO:0031625; GO:0031965; GO:0032587; GO:0032886; GO:0032991; GO:0033077; GO:0034750; GO:0035019; GO:0042483; GO:0042802; GO:0042995; GO:0043025; GO:0043065; GO:0043066; GO:0043409; GO:0043588; GO:0044092; GO:0044295; GO:0044306; GO:0044336; GO:0044337; GO:0044877; GO:0045295; GO:0045595; GO:0045597; GO:0045667; GO:0045670; GO:0045732; GO:0045736; GO:0045785; GO:0046716; GO:0048471; GO:0048538; GO:0050680; GO:0051010; GO:0051171; GO:0051260; GO:0051276; GO:0051726; GO:0051781; GO:0051988; GO:0060041; GO:0060044; GO:0060070; GO:0060770; GO:0065003; GO:0070840; GO:0070852; GO:0090090; GO:0120162; GO:1904781; GO:2000211
8.970147e-20,GO:0000904; GO:0001701; GO:0001756; GO:0001837; GO:0001839; GO:0001954; GO:0003382; GO:0003383; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0006931; GO:0007398; GO:0007492; GO:0007498; GO:0007509; GO:0008092; GO:0009826; GO:0010608; GO:0010634; GO:0019904; GO:0022408; GO:0030036; GO:0031032; GO:0031252; GO:0032091; GO:0032092; GO:0032525; GO:0032587; GO:0048318; GO:0048319; GO:0048339; GO:0048617; GO:0051894; GO:0070201; GO:0070986; GO:0071560
0.1587215,GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0001959; GO:0003677; GO:0003700; GO:0005509; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0008134; GO:0010629; GO:0016513; GO:0030097; GO:0030099; GO:0030111; GO:0030182; GO:0030853; GO:0030854; GO:0032743; GO:0033146; GO:0042803; GO:0043231; GO:0043371; GO:0043378; GO:0044212; GO:0045589; GO:0045616; GO:0045637; GO:0045652; GO:0045766; GO:0045893; GO:0045944; GO:0046982; GO:0048935; GO:0050855; GO:0071425; GO:1902036; GO:2000810
6.248396e-16,GO:0000981; GO:0001228; GO:0001525; GO:0001666; GO:0001892; GO:0001974; GO:0002027; GO:0003677; GO:0005634; GO:0005654; GO:0005667; GO:0005829; GO:0006357; GO:0006366; GO:0007005; GO:0007165; GO:0007601; GO:0008134; GO:0016567; GO:0016607; GO:0030218; GO:0030324; GO:0035035; GO:0042415; GO:0043129; GO:0043565; GO:0043619; GO:0043687; GO:0045944; GO:0046982; GO:0048469; GO:0048625; GO:0055072; GO:0061418; GO:0071456; GO:0120162
7.377063e-05,GO:0000122; GO:0000123; GO:0000790; GO:0000987; GO:0001085; GO:0001102; GO:0001666; GO:0002039; GO:0002223; GO:0003682; GO:0003684; GO:0003713; GO:0003714; GO:0004402; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0006367; GO:0006473; GO:0007165; GO:0007219; GO:0007221; GO:0008134; GO:0008270; GO:0008589; GO:0016032; GO:0016407; GO:0016573; GO:0016604; GO:0018076; GO:0019216; GO:0030511; GO:0031648; GO:0032481; GO:0034644; GO:0042592; GO:0042733; GO:0042981; GO:0043426; GO:0045637; GO:0045747; GO:0045893; GO:0045944; GO:0048511; GO:0061418; GO:0065003; GO:1900034; GO:1904837
2.136782e-07,GO:0001501; GO:0001654; GO:0002051; GO:0002102; GO:0005737; GO:0006801; GO:0007507; GO:0010314; GO:0010628; GO:0016176; GO:0022617; GO:0030054; GO:0032266; GO:0035091; GO:0040018; GO:0042169; GO:0042995; GO:0045600; GO:0048705; GO:0051496; GO:0060348; GO:0060378; GO:0060612; GO:0070273; GO:0071800; GO:0072657; GO:0080025; GO:1904179; GO:1904888
1.667868e-07,GO:0000184; GO:0002184; GO:0003747; GO:0003924; GO:0005525; GO:0005829; GO:0006412; GO:0006479; GO:0018444
