"","GO.BP","n"
"71"," regulation of apoptotic process [GO:0042981]",1
"72"," regulation of cell shape [GO:0008360]",4
"73"," regulation of small GTPase mediated signal transduction [GO:0051056]",16
"74"," regulation of transcription by RNA polymerase II [GO:0006357]",4
"75"," rhythmic process [GO:0048511]",2
"76"," signal transduction [GO:0007165]",16
"77"," snRNA transcription [GO:0009301]",4
"78"," spermatogenesis [GO:0007283]",3
"79"," translational initiation [GO:0006413]",1
"80"," ubiquitin-dependent protein catabolic process [GO:0006511]",2
"81","acetate biosynthetic process [GO:0019413]",1
"82","acetyl-CoA biosynthetic process [GO:0006085]",1
"83","actin cytoskeleton reorganization [GO:0031532]",2
"84","activation of GTPase activity [GO:0090630]",13
"85","activation of JNKK activity [GO:0007256]",2
"86","activation of protein kinase activity [GO:0032147]",2
"87","activation of protein kinase B activity [GO:0032148]",7
"88","angiogenesis [GO:0001525]",14
"89","antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]",4
"90","antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]",68
"91","apoptotic process [GO:0006915]",23
"92","arachidonic acid metabolic process [GO:0019369]",2
"93","autophagosome assembly [GO:0000045]",4
"94","blastocyst growth [GO:0001832]",1
"95","blood coagulation [GO:0007596]",1
"96","cell cycle [GO:0007049]",20
"97","cell differentiation [GO:0030154]",26
"98","cell division [GO:0051301]",24
"99","cellular potassium ion homeostasis [GO:0030007]",1
"100","cellular response to anoxia [GO:0071454]",1
"101","ceramide 1-phosphate transport [GO:1902389]",1
"102","chromatin remodeling [GO:0006338]",2
"103","cilium movement [GO:0003341]",8
"104","cilium-dependent cell motility [GO:0060285]",7
"105","clathrin coat assembly [GO:0048268]",1
"106","cristae formation [GO:0042407]",1
"107","cytoplasmic microtubule organization [GO:0031122]",4
"108","cytoskeleton organization [GO:0007010]",4
"109","delamination [GO:0060232]",10
"110","dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]",4
"111","double-strand break repair via homologous recombination [GO:0000724]",2
"112","endothelial cell morphogenesis [GO:0001886]",17
"113","entrainment of circadian clock by photoperiod [GO:0043153]",2
"114","ergothioneine biosynthetic process [GO:0052699]",1
"115","formation of translation preinitiation complex [GO:0001731]",1
"116","GPI anchor biosynthetic process [GO:0006506]",1
"117","hematopoietic progenitor cell differentiation [GO:0002244]",1
"118","histone arginine methylation [GO:0034969]",1
"119","iron ion homeostasis [GO:0055072]",4
"120","membrane organization [GO:0061024]",6
"121","microtubule-based movement [GO:0007018]",8
"122","mitotic cell cycle [GO:0000278]",2
"123","mRNA splicing",2
"124","multicellular organism development [GO:0007275]",1
"125","negative regulation of fat cell differentiation [GO:0045599]",37
"126","phosphatidylinositol-mediated signaling [GO:0048015]",3
"127","positive regulation of canonical Wnt signaling pathway [GO:0090263]",1
"128","positive regulation of translation [GO:0045727]",1
"129","postsynapse organization [GO:0099173]",16
"130","protein deubiquitination [GO:0016579]",2
"131","protein folding in endoplasmic reticulum [GO:0034975]",1
"132","protein import into nucleus [GO:0006606]",5
"133","protein localization [GO:0008104]",1
"134","receptor-mediated endocytosis [GO:0006898]",5
"135","regulation of growth [GO:0040008]",1
"136","regulation of transcription",1
"137","sensory perception of sound [GO:0007605]",203
"138","signal transduction [GO:0007165]",1
"139","steroid biosynthetic process [GO:0006694]",4
